time,open,high,low,close,volume
2021-06-28,65269,65630,65269,65630,30700
2021-06-29,68000,68000,65630,65960,26400
2021-06-30,65489,65810,62400,65250,7300
2021-07-01,65570,66110,65019,65390,12900
2021-07-02,65740,65740,64629,64629,15300
2021-07-05,64629,64629,63600,64540,17700
2021-07-06,64360,64739,63360,64440,16500
2021-07-07,64410,64410,63410,64069,54300
2021-07-08,63360,64209,63360,64160,10200
2021-07-09,64069,64069,63110,63640,4500
2021-07-12,62650,63600,61690,62160,15900
2021-07-13,62160,62160,61690,62160,5200
2021-07-14,61690,62160,61690,62160,7000
2021-07-15,64069,64069,61790,62310,5900
2021-07-16,62160,63540,62120,63110,26100
2021-07-19,63110,63110,62160,62830,8900
2021-07-20,64019,64019,62600,63730,8300
2021-07-21,64160,64160,63070,63600,16300
2021-07-22,63600,64019,63600,64019,4700
2021-07-23,63980,64019,63410,64019,6200
2021-07-26,63820,63820,63600,63820,10500
2021-07-27,63360,64970,63360,64489,10900
2021-07-28,64440,64540,64440,64440,7300
2021-07-29,64069,64440,63600,64110,4000
2021-07-30,62930,64110,62930,64110,6400
2021-08-02,64110,64590,63640,64489,7800
2021-08-03,64769,65019,64540,64920,8100
2021-08-04,64920,65019,64920,64920,5100
2021-08-05,64069,65740,64069,65740,22700
2021-08-06,65960,65960,64540,64590,17700
2021-08-09,64540,66440,64540,66250,28900
2021-08-10,66250,66250,65489,65770,5800
2021-08-11,65810,66060,65770,65960,13400
2021-08-12,65920,65920,65019,65200,4500
2021-08-13,65250,65860,65200,65860,4800
2021-08-16,65960,66680,64590,66680,23800
2021-08-17,67390,67390,66770,66910,17900
2021-08-18,66910,67630,66730,67580,10600
2021-08-19,67580,67580,66440,66440,16900
2021-08-20,66540,67110,66110,67110,22000
2021-08-23,66910,66910,64540,66440,10600
2021-08-24,66200,66200,65489,65489,5400
2021-08-25,64590,65489,64590,65489,3800
2021-08-26,65489,65740,65489,65489,3200
2021-08-27,65489,66390,65489,66200,11700
2021-08-30,66440,66910,65860,66680,34300
2021-08-31,67340,67340,64440,66250,30500
2021-09-01,65250,65630,65250,65540,14400
2021-09-06,65540,65740,60980,64489,42100
2021-09-07,64540,65450,64540,64920,5600
2021-09-08,65489,65740,65060,65489,28200
2021-09-09,65489,66820,65489,66680,18900
2021-09-10,66440,66910,66440,66820,7700
2021-09-13,66440,67010,66440,66870,2400
2021-09-14,66910,66910,66440,66870,5100
2021-09-15,67150,67240,66770,66770,10300
2021-09-16,65019,66910,65019,66770,2800
2021-09-17,66910,67060,65349,66870,7500
2021-09-20,66620,66620,65349,65349,19700
2021-09-21,65349,65450,65110,65390,10900
2021-09-22,65390,65489,65019,65489,6200
2021-09-23,65489,65770,65160,65489,6300
2021-09-24,65250,65489,64590,65489,23000
2021-09-27,65450,65450,64069,64069,35400
2021-09-28,64069,64160,63690,64069,11900
2021-09-29,64300,64440,64209,64440,39800
2021-09-30,64489,65200,64489,64769,26900
2021-10-01,65540,65540,60280,64069,52600
2021-10-04,64069,64970,63780,64110,16900
2021-10-05,64069,64440,59840,63780,15500
2021-10-06,63780,63780,63600,63780,20600
2021-10-07,63780,63780,63360,63360,27100
2021-10-08,63600,63690,63110,63360,16600
2021-10-11,63110,63600,63110,63440,21700
2021-10-12,63540,63730,63490,63490,16200
2021-10-13,63730,63920,63690,63870,18000
2021-10-14,62930,64069,62930,64069,18500
2021-10-15,63600,64250,63600,64250,15100
2021-10-18,64250,64360,62360,64110,19100
2021-10-19,64019,64019,63600,63920,17300
2021-10-20,63920,63920,63440,63640,25100
2021-10-21,63600,63600,63250,63440,21500
2021-10-22,63440,63600,63410,63440,42600
2021-10-25,63490,63540,63360,63490,8600
2021-10-26,63490,63540,63360,63540,17500
2021-10-27,63360,63600,63360,63540,20800
2021-10-28,63540,63540,63210,63440,15900
2021-10-29,63360,63640,63310,63600,53800
2021-11-01,63600,63820,63440,63820,44000
2021-11-02,63820,64920,63820,64920,37600
2021-11-03,65019,65960,64769,65740,63900
2021-11-04,65060,66440,64819,66390,62000
2021-11-05,66440,67300,65740,67150,34600
2021-11-08,67190,68330,67190,67950,20400
2021-11-09,69520,69520,68390,69190,39800
2021-11-10,70710,70710,68810,69050,13700
2021-11-11,69240,69240,67150,68760,24400
2021-11-12,67150,69270,67150,68760,17100
2021-11-15,67150,69440,67150,69270,49000
2021-11-16,66910,69660,66910,69660,26700
2021-11-17,69660,69760,69380,69660,5900
2021-11-18,69560,69760,69270,69760,12200
2021-11-19,69720,69720,68330,68330,8900
2021-11-22,68330,68390,67870,68330,55200
2021-11-23,67870,70710,67870,70650,11000
2021-11-24,70230,70470,69270,70230,2000
2021-11-25,70470,70470,69760,69810,4000
2021-11-26,68900,70200,68900,70200,16600
2021-11-29,67150,75080,67150,75080,96200
2021-11-30,75690,75690,73140,74270,3700
2021-12-01,70710,73650,70710,73550,4500
2021-12-02,71650,73080,71330,71330,4100
2021-12-03,71470,71520,70230,70230,7700
2021-12-06,70200,70200,68100,68810,12200
2021-12-07,68810,70650,68810,70200,38600
2021-12-08,70200,71190,68390,68620,21500
2021-12-09,68620,69520,68620,68810,50200
2021-12-10,68810,68860,68810,68810,3400
2021-12-13,69520,70890,68570,70890,5500
2021-12-14,70890,71000,69900,71000,1000
2021-12-15,70940,72650,70940,72600,14200
2021-12-16,74030,74030,72850,73550,42300
2021-12-17,72600,74740,72320,74030,2700
2021-12-20,71650,72600,71650,71940,3400
2021-12-21,73550,73550,71700,72750,9800
2021-12-22,72600,72600,71760,72130,3000
2021-12-23,72040,72130,71650,72130,12000
2021-12-24,71190,72700,71190,72600,3700
2021-12-27,72600,72600,72370,72600,14600
2021-12-28,70230,72520,70230,72470,3200
2021-12-29,72370,72370,71190,72090,2100
2021-12-30,70320,72570,70320,72570,900
2021-12-31,72790,75930,71410,75930,102300
2022-01-04,75930,75930,72130,72980,12300
2022-01-05,73080,74930,71650,71650,25300
2022-01-06,71760,73510,71600,73510,31500
2022-01-07,73460,73510,72600,72980,14800
2022-01-10,72700,74510,72600,74510,12600
2022-01-11,73550,74700,73550,74700,15700
2022-01-12,73320,74640,73320,74640,7400
2022-01-13,74640,74640,74460,74510,2200
2022-01-14,73170,74610,73170,74510,13600
2022-01-17,74510,74510,73550,74030,15500
2022-01-18,71190,74410,71190,74410,17500
2022-01-19,73610,74030,73550,73900,6600
2022-01-20,74460,74460,73970,74080,26900
2022-01-21,74030,74030,73170,73790,4500
2022-01-24,71370,75930,71370,74980,61000
2022-01-25,75410,75410,73270,73360,3600
2022-01-26,75690,75690,73610,74170,2600
2022-01-27,74170,75790,74170,75740,15300
2022-01-28,75740,75790,73610,75690,11800
2022-02-07,75930,78310,75930,77350,10200
2022-02-08,77350,78060,77350,78060,11600
2022-02-09,77780,77830,75930,77830,12400
2022-02-10,77830,77830,76450,77830,13200
2022-02-11,77780,78310,77780,78060,29300
2022-02-14,78020,78020,77440,77780,12300
2022-02-15,78780,83050,77440,78360,33200
2022-02-16,80440,80440,77730,78720,13400
2022-02-17,78310,78780,77110,78360,19500
2022-02-18,79690,79690,76020,76680,14300
2022-02-21,78060,78390,78060,78390,9400
2022-02-22,78540,78540,77490,77640,7600
2022-02-23,77600,77730,77310,77350,64600
2022-02-24,78310,78310,73550,75930,30700
2022-02-25,77970,77970,76260,76680,6400
2022-02-28,76870,78310,76650,77780,24100
2022-03-01,77350,77350,76870,77350,11500
2022-03-02,77830,77830,75930,77260,3600
2022-03-03,77350,77350,75690,75930,34100
2022-03-04,76170,76400,74980,76400,10400
2022-03-07,75460,75880,75410,75600,11300
2022-03-08,74740,75460,74030,74980,26100
2022-03-09,75460,75460,74740,74740,17900
2022-03-10,75460,75460,74030,74610,35300
2022-03-11,75220,75220,74510,74510,2100
2022-03-14,75930,76060,73510,74030,50600
2022-03-15,76350,76350,73740,73970,14700
2022-03-16,74270,75930,74080,74980,10600
2022-03-17,75830,75930,74230,74270,20200
2022-03-18,74510,74510,74030,74460,3800
2022-03-21,74460,74980,74460,74460,33200
2022-03-22,74030,74460,73550,74030,24900
2022-03-23,75930,75930,74030,75410,17100
2022-03-24,74980,75350,74610,74610,3200
2022-03-25,74510,74740,74270,74510,14800
2022-03-28,73790,75220,73790,75120,16300
2022-03-29,74550,75980,74550,75980,93500
2022-03-30,75980,77110,75980,76930,9800
2022-03-31,77350,78310,76680,76680,8800
2022-04-01,76870,77060,76870,77060,200
2022-04-04,77060,80680,77060,80680,7500
2022-04-05,77830,82570,77830,82100,15300
2022-04-06,80680,81430,80680,81380,7300
2022-04-07,81620,82060,78390,80200,10500
2022-04-08,81620,81620,77830,78310,17700
2022-04-12,79250,80440,78490,80440,13400
2022-04-13,81340,83050,81140,82520,13200
2022-04-14,81950,83050,81950,82380,8500
2022-04-15,82100,83470,82100,83000,16400
2022-04-18,83000,84000,82810,84000,20000
2022-04-19,86140,86140,83950,84280,12100
2022-04-20,85330,85330,83100,84000,15500
2022-04-21,83050,83430,78160,82900,12100
2022-04-22,82900,82900,79730,82630,7300
2022-04-25,80730,82630,79730,79730,26500
2022-04-26,80150,85270,79730,83240,31300
2022-04-27,83950,85180,83430,84950,34700
2022-04-28,85040,85990,84840,85420,6700
2022-04-29,84480,85330,83670,85330,4100
2022-05-04,84950,84950,83670,83810,8200
2022-05-05,83850,84950,83050,83100,15400
2022-05-06,82630,83140,82380,82470,12400
2022-05-09,82470,82470,80680,80730,24600
2022-05-10,80680,81380,77880,80680,34600
2022-05-11,79730,80440,78930,79010,28000
2022-05-12,79050,79870,78310,79250,12900
2022-05-13,78540,79480,75930,76870,34600
2022-05-16,76400,78310,76400,76870,7000
2022-05-17,77350,80680,76400,80680,8800
2022-05-18,80630,81140,79730,80680,6700
2022-05-19,81060,81060,80190,80630,2200
2022-05-20,80630,82110,75650,78550,10900
2022-05-23,82090,82090,79220,81150,7800
2022-05-24,81150,81150,78500,80570,13400
2022-05-25,80570,81200,80530,81150,26300
2022-05-26,81150,81150,80680,80730,2200
2022-05-27,80730,84530,79720,81110,13700
2022-05-30,82110,82110,80920,80920,4000
2022-05-31,81150,81150,79330,81150,9300
2022-06-01,81150,82110,81110,81590,3600
2022-06-02,81640,81640,80920,81150,2500
2022-06-03,81150,82110,81110,82110,9500
2022-06-06,82370,82370,80960,80960,6000
2022-06-07,80770,80870,80730,80870,3100
2022-06-08,81640,82320,81590,81700,4800
2022-06-09,82110,82370,81880,82110,33600
2022-06-10,82030,82850,81150,82750,3600
2022-06-13,81150,82610,80190,80680,6300
2022-06-14,80000,80680,79750,79850,31100
2022-06-15,79800,79800,77680,77820,33000
2022-06-16,78260,79670,78260,79470,4000
2022-06-17,77380,77540,77200,77200,21300
2022-06-20,76580,76820,75890,75990,13200
2022-06-21,75990,75990,75940,75990,10000
2022-06-22,75840,75840,75220,75220,7000
2022-06-23,74450,75510,74300,75510,4800
2022-06-24,74880,75550,74880,75550,11400
2022-06-27,75460,79720,75460,79220,24600
2022-06-28,79220,79270,77430,77430,8500
2022-06-29,77300,77430,76850,76960,7500
2022-06-30,76820,77540,76660,76660,14400
2022-07-01,76330,76330,75110,75350,15500
2022-07-04,75600,75600,74830,74830,12800
2022-07-05,74390,75220,73920,74150,16400
2022-07-06,72940,73380,72700,72700,5500
2022-07-07,72410,72410,70570,70820,14800
2022-07-08,70820,72460,70820,72220,5200
2022-07-11,72220,72220,68850,70000,14200
2022-07-12,70000,70540,69950,70200,4800
2022-07-13,70230,71010,69080,70000,22600
2022-07-14,72180,72180,70040,70040,8900
2022-07-15,71010,71010,69850,69850,8300
2022-07-18,70780,70780,69560,69560,20000
2022-07-19,70780,70780,69950,70040,17200
2022-07-20,71010,71010,69950,70730,15200
2022-07-21,70730,70780,70540,70570,3200
2022-07-22,71880,74450,71010,73920,21200
2022-07-25,74390,74880,72940,73920,18200
2022-07-26,73720,73920,73430,73620,14100
2022-07-27,73620,78740,73620,77300,39600
2022-07-28,78650,79670,77300,78120,37500
2022-07-29,78200,79130,77970,77970,15600
2022-08-01,77920,78200,77780,77970,55500
2022-08-02,77920,78500,77780,77780,23900
2022-08-03,79130,79130,78020,78060,25800
2022-08-04,78780,79130,77880,78260,33900
2022-08-05,80070,80340,78200,78200,98200
2022-08-08,78200,78200,76850,76850,20000
2022-08-09,77220,78560,77220,77750,45900
2022-08-10,77930,77930,76500,77030,63000
2022-08-11,77030,77030,75870,75970,83000
2022-08-12,76850,76850,75520,76850,9000
2022-08-15,76850,77750,75970,76770,29800
2022-08-16,76850,76850,76060,76850,15400
2022-08-17,77660,77750,76410,77310,34000
2022-08-18,77310,77310,76600,76850,34400
2022-08-19,76850,77310,76330,77120,29200
2022-08-22,76140,76850,75790,75790,27300
2022-08-23,75520,76240,75160,75970,30200
2022-08-24,75970,76410,75870,75970,21200
2022-08-25,76140,76140,75870,75870,21300
2022-08-26,75970,75970,75790,75790,22700
2022-08-29,75610,75610,74530,75070,32900
2022-08-30,76140,76850,75160,76850,16400
2022-08-31,77390,77580,76410,76600,21300
2022-09-05,75970,76850,75520,76850,24300
2022-09-06,77750,77750,75970,75970,6500
2022-09-07,75970,75970,75330,75330,14800
2022-09-08,75260,75970,74710,75160,7400
2022-09-09,74800,76140,74630,76140,16900
2022-09-12,75070,75070,74900,75070,7400
2022-09-13,75070,75160,74530,74630,6500
