time,open,high,low,close,volume
2020-11-23,118900,119000,117900,118900,447160
2020-11-24,118900,118900,117000,118000,403970
2020-11-25,118200,120200,118000,119000,617760
2020-11-26,119000,120100,118000,120100,599050
2020-11-27,120200,120200,118800,119000,406570
2020-11-30,118700,118900,117400,117500,636680
2020-12-01,116000,118100,115000,118000,558190
2020-12-02,117500,119500,117500,119500,612480
2020-12-03,119700,119700,118200,118800,448840
2020-12-04,118200,119000,117900,118500,496960
2020-12-07,118400,118400,117400,118000,483840
2020-12-08,117900,118700,117600,118500,522530
2020-12-09,118500,120000,118300,120000,683020
2020-12-10,120300,120700,119000,119800,655870
2020-12-11,119800,122200,119700,122200,721710
2020-12-14,122700,127000,122700,127000,722460
2020-12-15,127000,129000,125000,125000,948860
2020-12-16,125000,128100,124800,128100,530890
2020-12-17,127000,127500,124500,124600,590300
2020-12-18,124400,126500,124400,125000,832310
2020-12-21,125200,125800,124800,125800,652430
2020-12-22,125500,125600,123400,123600,517670
2020-12-23,123600,123600,122100,122600,529610
2020-12-24,122800,123700,121900,123000,523500
2020-12-25,123000,126000,122800,125900,874910
2020-12-28,125900,126000,124400,124900,611380
2020-12-29,124600,126000,124200,125600,637610
2020-12-30,125600,125700,124500,124500,564770
2020-12-31,124500,125900,124000,125000,628120
2021-01-04,125200,126000,124000,125800,792100
2021-01-05,125800,126200,124600,124800,653500
2021-01-06,124900,125000,122700,123700,635000
2021-01-07,123700,125400,123500,124600,616000
2021-01-08,125100,126700,125100,126500,739800
2021-01-11,126500,132000,126500,131300,786900
2021-01-12,131400,131600,130699,131500,633500
2021-01-13,131700,132000,131100,131300,623100
2021-01-14,130800,131400,129500,130699,749700
2021-01-15,131200,131800,130000,131800,752000
2021-01-18,131900,132300,131200,132000,850100
2021-01-19,132000,132200,127900,127900,700700
2021-01-20,128400,130000,126000,130000,634500
2021-01-21,130000,131500,128800,131000,755200
2021-01-22,131600,134000,131000,133800,878700
2021-01-25,133600,133900,133300,133600,824300
2021-01-26,133600,133600,129500,131000,469900
2021-01-27,130699,131000,128500,130800,683300
2021-01-28,127300,127500,121700,121700,437200
2021-01-29,119000,130000,118000,125800,682500
2021-02-01,125800,126500,122300,125500,593900
2021-02-02,125300,129800,125100,129699,606400
2021-02-03,129800,131500,129000,131000,600400
2021-02-04,131000,131100,129000,130600,604900
2021-02-05,130800,131100,130500,131100,496400
2021-02-08,130500,130600,122000,124600,1310700
2021-02-09,125300,129000,124200,129000,660800
2021-02-17,129500,131000,129100,131000,618600
2021-02-18,130900,131800,129000,131800,608400
2021-02-19,131500,131900,129800,131800,536500
2021-02-22,131900,131900,130000,131600,577000
2021-02-23,131300,134500,129300,134000,1228400
2021-02-24,134000,135000,131500,131900,545400
2021-02-25,132000,135000,131200,135000,839300
2021-02-26,134500,136000,133500,135100,772100
2021-03-01,135300,136900,135000,136200,663800
2021-03-02,136700,138500,135100,137700,802800
2021-03-03,137400,137800,135500,137200,704400
2021-03-04,136500,137700,135300,136800,353700
2021-03-05,136400,137000,135000,136800,490100
2021-03-08,137200,137300,134200,136000,493900
2021-03-09,135600,135600,133000,134900,476800
2021-03-10,134900,135500,133600,135500,767100
2021-03-11,135800,136500,135200,136100,633000
2021-03-12,135500,136300,134000,135000,528900
2021-03-15,135000,135400,133500,135000,495700
2021-03-16,135000,135100,133000,134600,477000
2021-03-17,134200,134300,131200,133500,564100
2021-03-18,133500,134900,133000,134900,499900
2021-03-19,134400,134600,130500,130500,934300
2021-03-22,131600,133000,131500,132700,507300
2021-03-23,132000,132600,130100,131000,356300
2021-03-24,130000,131100,127500,128000,415100
2021-03-25,128000,130900,127800,128100,508100
2021-03-26,128300,130500,128199,130500,403500
2021-03-29,130699,131600,130500,131600,640100
2021-03-30,131600,131700,130000,131600,509900
2021-03-31,131500,131600,129699,129699,456300
2021-04-01,130000,132900,129699,132500,536300
2021-04-02,133800,134300,132300,132300,530900
2021-04-05,136000,136000,132200,132300,440800
2021-04-06,132500,133800,132200,133000,427200
2021-04-07,133000,134000,132100,133000,381100
2021-04-08,133500,134000,132600,133000,418400
2021-04-09,133500,133500,131400,131800,417900
2021-04-12,132100,132100,130900,131800,621400
2021-04-13,132400,132400,131100,131900,499500
2021-04-14,132200,132300,131000,132000,508200
2021-04-15,132000,132400,129000,131700,640800
2021-04-16,131700,131700,128199,129000,431200
2021-04-19,129000,129600,128000,129199,592600
2021-04-20,129199,132000,128800,131000,729500
2021-04-22,130500,132100,130300,130400,772400
2021-04-23,130400,130800,126500,129500,812600
2021-04-26,130600,130600,123500,127500,562600
2021-04-27,127500,127900,126000,127200,474700
2021-04-28,127200,127200,124700,126000,517100
2021-04-29,126000,126100,124100,124900,520600
2021-05-04,124900,125000,123000,124000,515300
2021-05-05,124000,124800,123400,124500,507100
2021-05-06,124500,124500,122000,122000,426600
2021-05-07,121000,122600,118000,119500,439500
2021-05-10,119500,120000,118000,119200,472400
2021-05-11,119400,119800,118800,119000,527700
2021-05-12,119000,119200,118000,119000,532100
2021-05-13,119000,119300,116800,117000,481000
2021-05-14,117000,118700,116700,117900,659000
2021-05-17,118000,118200,114000,114000,485200
2021-05-18,114300,114800,112100,113000,390900
2021-05-19,113000,113200,109600,110000,362700
2021-05-20,109400,111000,108400,111000,475700
2021-05-21,110700,112700,110500,112700,329600
2021-05-24,112700,113800,112300,113500,523500
2021-05-25,113500,113500,112000,113300,423000
2021-05-26,113000,113400,112200,113000,473000
2021-05-27,113000,113000,110000,113000,438000
2021-05-28,113000,113000,110500,112000,501900
2021-05-31,111800,111800,107000,110000,512700
2021-06-01,109900,109900,106000,106200,283700
2021-06-02,106200,107200,106000,106600,518700
2021-06-03,106600,107200,105800,106900,589000
2021-06-04,106200,107400,106200,107400,634100
2021-06-07,107500,111800,107500,111800,684500
2021-06-08,113000,117500,112300,117200,674400
2021-06-09,117200,117400,113300,115300,642400
2021-06-10,114600,114600,111500,113800,637800
2021-06-11,113900,115500,112800,115500,801200
2021-06-14,115500,115800,115000,115700,642700
2021-06-15,115700,117000,115600,117000,667600
2021-06-16,115800,117300,115800,116500,532500
2021-06-17,116000,116500,115000,116500,588400
2021-06-18,116100,116500,115400,116000,366100
2021-06-21,116000,116000,113800,114000,669000
2021-06-22,114400,115400,114000,115000,528900
2021-06-23,115100,115300,114400,115100,588000
2021-06-24,115900,115900,115000,115500,634400
2021-06-25,115500,116000,115000,115900,470100
2021-06-28,116000,116100,114600,115500,514200
2021-06-29,115700,120000,115300,120000,666900
2021-06-30,120000,121700,119800,121500,595200
2021-07-01,121500,121500,119600,120700,534300
2021-07-02,121000,121100,119800,120600,506800
