time,open,high,low,close,volume
2021-07-22,19770,20010,19770,19930,264600
2021-07-23,19770,19770,19380,19380,639500
2021-07-26,18980,19380,18980,19020,652900
2021-07-27,19220,19220,19020,19100,784000
2021-07-28,18820,19060,18670,18820,1268800
2021-07-29,19800,20100,19800,20100,505600
2021-07-30,21500,21500,21500,21500,412300
2021-08-02,23000,23000,22000,22750,2553500
2021-08-03,22750,22800,22100,22250,787600
2021-08-04,22100,22250,21800,21800,946800
2021-08-05,21500,21750,21200,21650,1013400
2021-08-06,21700,21950,21600,21700,805600
2021-08-09,21600,21600,21250,21350,788200
2021-08-10,21350,21500,21300,21500,597000
2021-08-11,21500,22100,21400,21800,897100
2021-08-12,21600,21950,21600,21700,473500
2021-08-13,21800,21950,21500,21550,573600
2021-08-16,21500,21550,21300,21500,590000
2021-08-17,21500,21550,21400,21400,440200
2021-08-18,21400,21400,21200,21300,564100
2021-08-19,21200,21250,21100,21250,467300
2021-08-20,21150,21200,20800,20850,774300
2021-08-23,20850,20850,20500,20550,538100
2021-08-24,20400,20600,20250,20400,489100
2021-08-25,20500,21150,20450,21150,432700
2021-08-26,21300,21300,21100,21200,352800
2021-08-27,21200,21200,20900,21150,346200
2021-08-30,21200,21700,21150,21500,680000
2021-08-31,21450,21450,21000,21100,586800
2021-09-01,20700,21100,20600,20950,692200
2021-09-06,20950,21800,20950,21550,1082900
2021-09-07,21600,22200,21600,22100,1483900
2021-09-08,22500,22800,22000,22400,1438400
2021-09-09,22450,23950,22450,23950,2369400
2021-09-10,25400,25450,24600,25050,3492400
2021-09-13,25100,26800,25100,26800,3733800
2021-09-14,28600,28650,28550,28650,3343700
2021-09-15,30650,30650,26800,26800,5463200
2021-09-16,26100,26500,25300,25500,2737700
2021-09-17,25500,27250,25300,26750,1237300
2021-09-20,26750,26800,26050,26150,1535900
2021-09-21,25500,25800,25000,25400,1559800
2021-09-22,25700,26000,25500,25900,1005400
2021-09-23,26000,26000,25400,25600,909200
2021-09-24,25600,26200,25400,25900,910000
2021-09-27,26200,26300,25400,25550,1128100
2021-09-28,25700,25700,24500,25000,860100
2021-09-29,25000,25000,24300,24500,941200
2021-09-30,24500,25200,24500,25000,611200
2021-10-01,25000,25000,24500,24900,552200
2021-10-04,24950,26000,24900,25900,1019500
2021-10-05,26450,26500,25900,26200,801900
2021-10-06,26200,26300,25850,25900,768900
2021-10-07,26000,26100,25650,25950,714700
2021-10-08,26000,26200,25900,26100,867100
2021-10-11,26700,27500,26500,27000,1453400
2021-10-12,27100,27450,26500,26700,1112900
2021-10-13,26700,26900,26400,26450,636900
2021-10-14,26450,26550,26250,26300,757400
2021-10-15,26100,26300,26000,26050,1000600
2021-10-18,26050,26300,25600,25600,999000
2021-10-19,25600,25800,25450,25750,441800
2021-10-20,26200,26500,25700,25900,554500
2021-10-21,26000,26200,25800,25950,436200
2021-10-22,25900,26050,25850,25950,683200
2021-10-25,25900,25900,25400,25400,771800
2021-10-26,25400,26000,25100,25800,427800
2021-10-27,25800,25850,25450,25650,750200
2021-10-28,25000,25200,24950,25000,2624300
2021-10-29,24900,24900,24050,24800,2089300
2021-11-01,24800,24800,24500,24700,718200
2021-11-02,24600,24650,24400,24600,789600
2021-11-03,24600,24600,22900,22950,2071700
2021-11-04,22950,24550,22550,24150,1205300
2021-11-05,24150,25000,24150,24650,902700
2021-11-08,25000,25000,24650,24900,1128800
2021-11-09,24900,24950,24500,24800,700000
2021-11-10,24600,24800,24500,24650,820400
2021-11-11,24750,25100,24500,24900,841400
2021-11-12,24900,25150,24900,25050,736800
2021-11-15,24900,24900,24500,24600,1337600
2021-11-16,24600,25700,24450,25100,1134800
2021-11-17,26000,26100,25500,25800,2083200
2021-11-18,25800,25900,25100,25200,1250100
2021-11-19,23450,24000,23450,23450,17810300
2021-11-22,22900,23600,22900,23000,4234500
2021-11-23,23000,23450,23000,23350,2245800
2021-11-24,23350,24000,23250,23650,3797000
2021-11-25,23650,23800,23500,23800,3171700
2021-11-26,23900,24400,23850,23850,3782400
2021-11-29,23000,23400,22700,23150,3961300
2021-11-30,23100,23500,23000,23000,2663100
2021-12-01,23000,23300,22800,23050,2435200
2021-12-02,23050,23100,22900,22900,1797000
2021-12-03,22950,23050,22800,22800,2173400
2021-12-06,22700,22800,22000,22050,2759600
2021-12-07,22050,22450,22000,22200,1328900
2021-12-08,22500,23500,22450,22950,2014400
2021-12-09,23000,23100,22750,22900,1069700
2021-12-10,23000,24450,23000,23600,4189400
2021-12-13,24100,25000,24100,24900,8010400
2021-12-14,25100,25300,24200,24950,4842100
2021-12-15,24950,24950,24100,24300,2899900
2021-12-16,24300,24550,23350,23350,5399700
2021-12-17,23050,23850,23050,23450,2654800
2021-12-20,23450,23700,23000,23700,2121700
2021-12-21,23500,23500,23100,23350,1995400
2021-12-22,23500,23600,23100,23100,2190000
2021-12-23,23200,23500,23000,23100,2447700
2021-12-24,23150,23450,23150,23300,1326800
2021-12-27,23350,23750,23200,23350,1268000
2021-12-28,23400,23550,23100,23100,1845500
2021-12-29,23200,23300,23100,23200,1051900
2021-12-30,23250,23350,23150,23200,1628200
2021-12-31,23200,23250,23000,23150,2083300
2022-01-04,23200,23500,23150,23300,1832000
2022-01-05,23400,23400,23100,23100,2256200
2022-01-06,23100,23100,22800,22850,2466400
2022-01-07,22850,22850,22600,22650,2127400
2022-01-10,22750,24000,22750,23250,3036700
2022-01-11,23150,23300,22900,23050,1685900
2022-01-12,23050,23100,22600,22950,1593700
2022-01-13,22950,22950,22600,22650,1427600
2022-01-14,22500,22700,22200,22700,1433700
2022-01-17,22700,23500,22700,22900,2074000
2022-01-18,22900,23150,22700,22950,1544300
2022-01-19,22750,23000,22600,22700,1050700
2022-01-20,22600,22800,22450,22800,1127900
2022-01-21,22800,22800,22650,22700,1163900
2022-01-24,22800,23500,22750,22800,2579000
2022-01-25,23000,23400,22900,23350,2913000
2022-01-26,23800,24200,23600,24100,5819400
2022-01-27,24150,24200,23800,24000,3012200
2022-01-28,24000,24600,23900,24300,3385600
2022-02-07,25700,26000,25300,26000,11637900
2022-02-08,26100,27300,25750,26000,9015000
2022-02-09,26000,26500,25900,26250,5478100
2022-02-10,26500,26800,26200,26400,7410000
2022-02-11,26400,26500,25750,26200,6889400
2022-02-14,26500,27300,26400,26400,7858800
2022-02-15,26100,26500,25800,26250,4059500
2022-02-16,26300,26500,26150,26350,3865200
2022-02-17,26350,27500,26150,26800,7745200
2022-02-18,26650,27350,26500,27300,6504800
2022-02-21,27300,27300,26800,26800,4712600
2022-02-22,26200,26550,26000,26100,5663400
2022-02-23,26000,26600,25950,26250,3076300
2022-02-24,26200,26350,25000,25650,7196700
2022-02-25,25750,26200,25750,25900,2367700
2022-02-28,25700,25750,25000,25350,2599200
2022-03-01,25300,25500,25050,25400,3286200
2022-03-02,25350,25400,24950,25000,3082400
2022-03-03,25000,25200,24800,25000,3149000
2022-03-04,25000,25750,25000,25400,2181900
2022-03-07,25350,25350,24850,24900,2993200
2022-03-08,24700,25800,24550,25200,3556300
2022-03-09,25200,25500,24800,25000,1877100
2022-03-10,25400,26500,25200,26200,5220700
2022-03-11,26200,26200,25700,25800,3302400
2022-03-14,25600,26500,25600,26150,5080600
2022-03-15,26150,26700,26100,26150,3315400
2022-03-16,26600,26600,25700,25700,4013300
2022-03-17,25700,25950,25000,25600,2675900
2022-03-18,25700,25850,25300,25350,2556500
2022-03-21,25350,25350,25050,25200,2922400
2022-03-22,25100,25650,25050,25300,1830700
2022-03-23,25300,25350,25150,25200,2079400
2022-03-24,25100,25700,25050,25450,3041300
2022-03-25,25450,25700,25350,25350,1600300
2022-03-28,25350,25350,24700,24950,3047000
2022-03-29,24900,25350,24850,25100,2552300
2022-03-30,25000,25300,24900,24900,2364300
2022-03-31,24850,25100,24850,24900,1322000
2022-04-01,24800,25250,24650,25050,1926000
2022-04-04,25000,25050,24650,24900,2564000
2022-04-05,24850,25500,24850,25200,1914600
2022-04-06,25200,25200,24900,24950,1382700
2022-04-07,24950,25000,24700,24700,1458500
2022-04-08,24700,24850,24050,24100,2567100
2022-04-12,24500,24500,24000,24000,1663900
2022-04-13,24000,24250,23400,23850,1763900
2022-04-14,23900,24400,23900,24000,995000
2022-04-15,24000,24100,23400,23400,1619000
2022-04-18,23400,23400,22450,22550,2324400
2022-04-19,22200,23000,22200,22300,1727700
2022-04-20,22300,22850,22300,22550,1727300
2022-04-21,22550,22550,21300,22300,2011800
2022-04-22,22300,23000,21750,21900,2534700
2022-04-25,21900,22400,20700,20700,1980600
2022-04-26,20700,21500,20000,21500,1797200
2022-04-27,21650,21850,21500,21850,717100
2022-04-28,22000,22000,21550,21700,934200
2022-04-29,21700,21800,21550,21750,1417400
2022-05-04,21750,22800,21750,22300,1341900
2022-05-05,22650,22650,21650,21950,880200
2022-05-06,21500,21650,21000,21000,1179000
2022-05-09,20700,20800,19550,19550,2926600
2022-05-10,19550,20100,18600,20100,965000
2022-05-11,20500,20500,20050,20300,682100
2022-05-12,20100,20300,19000,19000,1320300
2022-05-13,19000,19100,17700,17750,1721500
2022-05-16,18000,18900,17850,18100,1226600
2022-05-17,18100,19350,17800,19200,1721500
2022-05-18,19500,19500,18800,18800,1136000
